sha256	bytes	path
da910fb5293a99d1f6e11ecfbbbcd7f253938a03f0f8f898515e023ffc081508	76	.gitignore
14956eb00d8fb3af9fb4ce5e3c006b0d560f7b9f5dbfdcc9ca00331a0799f445	1200	CITATION.cff
270cf867eaffc48a48379587e697f17eb17654974995c087e5f5e3f4f894909e	589	DATA_LICENSE.txt
9fc9dcda4c5e02388f453d9271fb174ce6b949332cedf561a0110371a3555a6b	1086	LICENSE
ed5a3673d86076996554c70169d62195946a285c8dd2c2d155ab676b9965a3d3	3351	README.md
70d513f162782dee4d50245331b9c35668eab053060c9971ccaf6689bdac6d51	1847	REPOSITORY_METADATA.md
07cc4875a73c28d5ff53a1155456a1319b41026ec90d3659f2b7b368a051b2e0	8812	code/analysis/01_prepare_gse151179.py
0af5fcbe2c75839b91839dcd7b65cfc8a8ccdb698c89f7fc66128816040d49a7	7539	code/analysis/02_score_locked_tds.R
6e4178bec0a0d073acc09e2aa4b345be3169dcf9d9cab13a70ae3c03bbd6680a	1533	code/analysis/03_audit_primary_cohort_confounders.R
098ee001e7920cd19b98a4a63ddfdf7aa5f3c30885ffd1586c415bee1c5b05f7	13907	code/analysis/04_score_frozen_benchmark.R
95e77ba4612d3134aede844603ed574673cdbecd87aeb6f62b8aa7fb17d4ed94	5142	code/analysis/05_prepare_gse299988.py
d235ba1383fff867f8b8b4301e0b294061229ff5c496454403d764777ce6d802	13494	code/analysis/06_gse299988_confounded_challenge.R
eccd9bf0a6b5eb6a085d4c925ba320a7326e4bdbf38ef2b378f741183589c335	16438	code/analysis/07_program_redundancy_parallel_analysis.R
af9b4665f9ca4c629a1c8e4afca530458d82a3746abcc2f95e4e070afa1f22da	23626	code/analysis/08_covariance_null_generator.R
808df5727b6437f84c531b3eee7f11c6f30332f1df62409dcd1ced8ff2f052da	9947	code/analysis/08_freeze_pubmed_search.py
b450d4c20cfb2abcfd0a0d457cb782ed3434af63a9db98ab3a790de166f68ed7	7765	code/analysis/09_freeze_supplementary_searches.py
fa07969d65f5c65fe4f0fc6ba3e8073e4349855cbb118146d33532c699eb4a6b	9197	code/analysis/09_validate_covariance_null.R
1b60d92f26fa10c465c021d4b1ef612b7aecc8674c94ebbb1769cafc2fc51aa9	3016	code/analysis/10_build_all9_program_registry.R
55e02a4d93865b776210ffe38ce6caace75e6c04726ac607f70fcf13db59a2a0	2471	code/analysis/10_fetch_candidate_pmc_xml.py
6318298bc5d29bb43279680a5d6f1f93b414d6b52abaa8e80ce447f334fa9049	23964	code/analysis/11_covariance_null_generator_general.R
92914163d2f72d57a7805233d7ed37d0579565a11cbd8f08d269cd86608c21b1	2220	code/analysis/11_extract_pmc_audit_text.py
3618276c9e62f63a4fb3da232592bb3c02a5861b40838179745221f7f1143791	8390	code/analysis/12_finalize_literature_freeze.py
34373ecf94866c402ab79d10848d245e8ad3454c7337b886b58a3310ad2275c3	9034	code/analysis/12_validate_covariance_null_general.R
4c38da1e08c7fcaaad1cb76d88107c7e660f1a5586eadb758685771c4b54f0ba	2352	code/analysis/13_build_verified_literature_bib.py
ed3bf0bdd0dfa3191044b1c6f3cb4a999bc4253cdd25a9f4415b50f835cad3b5	1991	code/analysis/13_run_covariance_null_sequence_005.sh
069b69f7d2092df256b2532c27b7d96a16cb205e055df347b314fb181e68ad1a	6519	code/analysis/14_freeze_covariance_null_master_manifest.R
4bb379af220b3037ea4b9ef71cab24a6c28a627dd61bf882d5b53561b1c3e89e	1653	code/analysis/14_hash_literature_freeze.py
cd1bd25b40b04a0962156cc9566f9adca53d71ee1738f918bed1fca67c684796	16203	code/analysis/15_clinical_label_layer_exact_permutation.R
69abb42368f6af286548ed25870f3ad96bd1efd17126501d6a41579190734689	7917	code/analysis/16_validate_clinical_label_layer.R
cdbb2a7e624d66666ad46db84c0cc9e534cce493ec50ee9f4ed4951d9d4bdff8	20742	code/analysis/17_build_figure3_two_null_nature.R
15e2e83a13725b0032914b05aa0cdf2aa41aa7d001631c8f9603b938636705bb	9269	code/analysis/20_prepare_gse299988_covnull.py
7eaf063c9368605f17ba0186c3663862084ebf182f879b1c0fa73a66eeaedcb4	2114	code/analysis/21_derive_gse299988_covnull_generator.R
136da333b4800118c6a19ed4caceacafb56571ef2f743ea6a48189811c025d52	1961	code/analysis/22_run_gse299988_covnull_sequence_005.sh
1e77beabc47233b825ca0c81e7c937e37eea340e1a56e80f0c40723708023544	7178	code/analysis/23_freeze_gse299988_covnull_master.R
4b4e9b083373d377764c0e8048ae36c7182288d46afabf871a87788adc70d524	12705	code/analysis/24_score_gse299988_two_null_layer.R
c677b02a25688a06bb20f99ba182f1a068184dd1187e04bff1492cdfd9e6c7d8	5460	code/analysis/25_validate_gse299988_two_null_layer.R
2e1bf0e507a2c9406a1f454a83cb4ffac0458350feb59778fb979c7e191c7897	11887	code/analysis/26_build_figure4_two_null_nature.R
2b672e3ebe36ab7a0d968fc9724a4e36b0731c8ee54e6aa77fae930e0a235def	11363	code/analysis/27_build_figure6_two_null_passport_nature.R
3e2b993f6aee8d926ca462c8908d443addf83ad598380ecb06b8663c6c9863c7	18213	code/analysis/28_pre_submission_numeric_audit.py
0b94717e5b1af70ae611db64a708ebc1715e464a25e75bdda56d0f4ce386cf97	3917	code/analysis/29_freeze_vancouver_citation_map.py
2adf211842b46f26a755cccb68b5bab91e147e36b23c8402f8b23ca476ffe723	4872	code/analysis/30_method_review_evidence.py
d07f1a9ec2a35f2ab27baa98fc3a47538d05b7d4c085b655546d1f76050e8ade	10573	code/analysis/build_figure4_nature.R
951163105fe3fe404d4362ba4ee856021927a1a8842f471dfb36abb72e766766	11078	code/analysis/build_figure6_nature.R
cdbb2a7e624d66666ad46db84c0cc9e534cce493ec50ee9f4ed4951d9d4bdff8	20742	code/figures/17_build_figure3_two_null_nature.R
11cbd6133b9db1752cedcf5936bf41caede4492c8a2c9c442158f6a1e1fb728b	12390	code/figures/26_build_figure4_two_null_nature_v3.R
2b672e3ebe36ab7a0d968fc9724a4e36b0731c8ee54e6aa77fae930e0a235def	11363	code/figures/27_build_figure6_two_null_passport_nature.R
