geo_accession	signature_id	score	genes_requested	genes_present	missing_genes	orientation	role
GSM4567912	TDS_16	-0.0270414009452532	16	16	none	higher_more_differentiated	biological_reference
GSM4567913	TDS_16	0.397192842694665	16	16	none	higher_more_differentiated	biological_reference
GSM4567914	TDS_16	-0.92170799147504	16	16	none	higher_more_differentiated	biological_reference
GSM4567915	TDS_16	0.220605552093672	16	16	none	higher_more_differentiated	biological_reference
GSM4567920	TDS_16	0.853329404477305	16	16	none	higher_more_differentiated	biological_reference
GSM4567921	TDS_16	0.591718472028166	16	16	none	higher_more_differentiated	biological_reference
GSM4567922	TDS_16	0.233526687880182	16	16	none	higher_more_differentiated	biological_reference
GSM4567923	TDS_16	0.0642962487124379	16	16	none	higher_more_differentiated	biological_reference
GSM4567924	TDS_16	-0.125229738649334	16	16	none	higher_more_differentiated	biological_reference
GSM4567916	TDS_16	-0.0561016266467079	16	16	none	higher_more_differentiated	biological_reference
GSM4567919	TDS_16	-1.02842297645776	16	16	none	higher_more_differentiated	biological_reference
GSM4567930	TDS_16	0.675765294086958	16	16	none	higher_more_differentiated	biological_reference
GSM4567931	TDS_16	-0.445921668751853	16	16	none	higher_more_differentiated	biological_reference
GSM4567932	TDS_16	0.057369197800068	16	16	none	higher_more_differentiated	biological_reference
GSM4567933	TDS_16	0.588426420936721	16	16	none	higher_more_differentiated	biological_reference
GSM4567934	TDS_16	-1.06184163621477	16	16	none	higher_more_differentiated	biological_reference
GSM4567935	TDS_16	-0.0159630815694476	16	16	none	higher_more_differentiated	biological_reference
GSM4567912	IODIDE_HANDLING_11	0.318297798992143	11	11	none	higher_more_iodide_handling	biological_reference
GSM4567913	IODIDE_HANDLING_11	0.447257068794073	11	11	none	higher_more_iodide_handling	biological_reference
GSM4567914	IODIDE_HANDLING_11	-1.06076244957744	11	11	none	higher_more_iodide_handling	biological_reference
GSM4567915	IODIDE_HANDLING_11	0.389680039135136	11	11	none	higher_more_iodide_handling	biological_reference
GSM4567920	IODIDE_HANDLING_11	0.66366163228464	11	11	none	higher_more_iodide_handling	biological_reference
GSM4567921	IODIDE_HANDLING_11	0.457619708353347	11	11	none	higher_more_iodide_handling	biological_reference
GSM4567922	IODIDE_HANDLING_11	0.345118207549437	11	11	none	higher_more_iodide_handling	biological_reference
GSM4567923	IODIDE_HANDLING_11	0.28739384038983	11	11	none	higher_more_iodide_handling	biological_reference
GSM4567924	IODIDE_HANDLING_11	-0.213995822165866	11	11	none	higher_more_iodide_handling	biological_reference
GSM4567916	IODIDE_HANDLING_11	-0.016532504565397	11	11	none	higher_more_iodide_handling	biological_reference
GSM4567919	IODIDE_HANDLING_11	-1.04835654295166	11	11	none	higher_more_iodide_handling	biological_reference
GSM4567930	IODIDE_HANDLING_11	0.458215191087192	11	11	none	higher_more_iodide_handling	biological_reference
GSM4567931	IODIDE_HANDLING_11	-0.303733935065342	11	11	none	higher_more_iodide_handling	biological_reference
GSM4567932	IODIDE_HANDLING_11	0.249875688348615	11	11	none	higher_more_iodide_handling	biological_reference
GSM4567933	IODIDE_HANDLING_11	0.601126708020991	11	11	none	higher_more_iodide_handling	biological_reference
GSM4567934	IODIDE_HANDLING_11	-1.66325987087316	11	11	none	higher_more_iodide_handling	biological_reference
GSM4567935	IODIDE_HANDLING_11	0.088395242243466	11	11	none	higher_more_iodide_handling	biological_reference
GSM4567912	CONDELLO_2025_SIX	0.0944062197896907	6	6	none	higher_more_low_avidity_like	independent_ex_vivo_avidity_candidate
GSM4567913	CONDELLO_2025_SIX	-0.15952440596079	6	6	none	higher_more_low_avidity_like	independent_ex_vivo_avidity_candidate
GSM4567914	CONDELLO_2025_SIX	-0.0192217567220781	6	6	none	higher_more_low_avidity_like	independent_ex_vivo_avidity_candidate
GSM4567915	CONDELLO_2025_SIX	-0.204173788376951	6	6	none	higher_more_low_avidity_like	independent_ex_vivo_avidity_candidate
GSM4567920	CONDELLO_2025_SIX	-0.538235819503047	6	6	none	higher_more_low_avidity_like	independent_ex_vivo_avidity_candidate
GSM4567921	CONDELLO_2025_SIX	-0.299596291404907	6	6	none	higher_more_low_avidity_like	independent_ex_vivo_avidity_candidate
GSM4567922	CONDELLO_2025_SIX	0.0704615292775984	6	6	none	higher_more_low_avidity_like	independent_ex_vivo_avidity_candidate
GSM4567923	CONDELLO_2025_SIX	0.150121494953952	6	6	none	higher_more_low_avidity_like	independent_ex_vivo_avidity_candidate
GSM4567924	CONDELLO_2025_SIX	-0.00944087947484125	6	6	none	higher_more_low_avidity_like	independent_ex_vivo_avidity_candidate
GSM4567916	CONDELLO_2025_SIX	0.18789845615508	6	6	none	higher_more_low_avidity_like	independent_ex_vivo_avidity_candidate
GSM4567919	CONDELLO_2025_SIX	0.764865631326291	6	6	none	higher_more_low_avidity_like	independent_ex_vivo_avidity_candidate
GSM4567930	CONDELLO_2025_SIX	-0.343444157875837	6	6	none	higher_more_low_avidity_like	independent_ex_vivo_avidity_candidate
GSM4567931	CONDELLO_2025_SIX	0.896650779461939	6	6	none	higher_more_low_avidity_like	independent_ex_vivo_avidity_candidate
GSM4567932	CONDELLO_2025_SIX	-0.227449284555898	6	6	none	higher_more_low_avidity_like	independent_ex_vivo_avidity_candidate
GSM4567933	CONDELLO_2025_SIX	-0.483657506772942	6	6	none	higher_more_low_avidity_like	independent_ex_vivo_avidity_candidate
GSM4567934	CONDELLO_2025_SIX	0.103144003778313	6	6	none	higher_more_low_avidity_like	independent_ex_vivo_avidity_candidate
GSM4567935	CONDELLO_2025_SIX	0.0171957759044531	6	6	none	higher_more_low_avidity_like	independent_ex_vivo_avidity_candidate
GSM4567912	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	-0.105441984044164	200	195	COL3A1;COL7A1;FSTL1;FZD8;LOXL2	higher_more_aggressive_program	aggressiveness_negative_control
GSM4567913	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	0.0413924200757659	200	195	COL3A1;COL7A1;FSTL1;FZD8;LOXL2	higher_more_aggressive_program	aggressiveness_negative_control
GSM4567914	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	0.00526847210106733	200	195	COL3A1;COL7A1;FSTL1;FZD8;LOXL2	higher_more_aggressive_program	aggressiveness_negative_control
GSM4567915	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	0.0168603294680854	200	195	COL3A1;COL7A1;FSTL1;FZD8;LOXL2	higher_more_aggressive_program	aggressiveness_negative_control
GSM4567920	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	0.185347994048504	200	195	COL3A1;COL7A1;FSTL1;FZD8;LOXL2	higher_more_aggressive_program	aggressiveness_negative_control
GSM4567921	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	-0.33828905501749	200	195	COL3A1;COL7A1;FSTL1;FZD8;LOXL2	higher_more_aggressive_program	aggressiveness_negative_control
GSM4567922	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	0.0221850287962449	200	195	COL3A1;COL7A1;FSTL1;FZD8;LOXL2	higher_more_aggressive_program	aggressiveness_negative_control
GSM4567923	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	0.0628908558956295	200	195	COL3A1;COL7A1;FSTL1;FZD8;LOXL2	higher_more_aggressive_program	aggressiveness_negative_control
GSM4567924	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	-0.133519559729042	200	195	COL3A1;COL7A1;FSTL1;FZD8;LOXL2	higher_more_aggressive_program	aggressiveness_negative_control
GSM4567916	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	-0.298878250117812	200	195	COL3A1;COL7A1;FSTL1;FZD8;LOXL2	higher_more_aggressive_program	aggressiveness_negative_control
GSM4567919	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	0.0138539864583611	200	195	COL3A1;COL7A1;FSTL1;FZD8;LOXL2	higher_more_aggressive_program	aggressiveness_negative_control
GSM4567930	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	-0.155562601919268	200	195	COL3A1;COL7A1;FSTL1;FZD8;LOXL2	higher_more_aggressive_program	aggressiveness_negative_control
GSM4567931	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	-0.145228089700113	200	195	COL3A1;COL7A1;FSTL1;FZD8;LOXL2	higher_more_aggressive_program	aggressiveness_negative_control
GSM4567932	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	0.00351990024365597	200	195	COL3A1;COL7A1;FSTL1;FZD8;LOXL2	higher_more_aggressive_program	aggressiveness_negative_control
GSM4567933	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	0.207946891896257	200	195	COL3A1;COL7A1;FSTL1;FZD8;LOXL2	higher_more_aggressive_program	aggressiveness_negative_control
GSM4567934	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	0.820452069695276	200	195	COL3A1;COL7A1;FSTL1;FZD8;LOXL2	higher_more_aggressive_program	aggressiveness_negative_control
GSM4567935	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	-0.202798408150959	200	195	COL3A1;COL7A1;FSTL1;FZD8;LOXL2	higher_more_aggressive_program	aggressiveness_negative_control
GSM4567912	HALLMARK_HYPOXIA	0.22160488407331	200	197	BTG1;ILVBL;STBD1	higher_more_aggressive_program	aggressiveness_negative_control
GSM4567913	HALLMARK_HYPOXIA	0.212222219022997	200	197	BTG1;ILVBL;STBD1	higher_more_aggressive_program	aggressiveness_negative_control
GSM4567914	HALLMARK_HYPOXIA	-0.194248901777747	200	197	BTG1;ILVBL;STBD1	higher_more_aggressive_program	aggressiveness_negative_control
GSM4567915	HALLMARK_HYPOXIA	-0.0340243405418167	200	197	BTG1;ILVBL;STBD1	higher_more_aggressive_program	aggressiveness_negative_control
GSM4567920	HALLMARK_HYPOXIA	0.199012632176438	200	197	BTG1;ILVBL;STBD1	higher_more_aggressive_program	aggressiveness_negative_control
GSM4567921	HALLMARK_HYPOXIA	-0.282987693772179	200	197	BTG1;ILVBL;STBD1	higher_more_aggressive_program	aggressiveness_negative_control
GSM4567922	HALLMARK_HYPOXIA	-0.00371153381981577	200	197	BTG1;ILVBL;STBD1	higher_more_aggressive_program	aggressiveness_negative_control
GSM4567923	HALLMARK_HYPOXIA	-0.169544017137491	200	197	BTG1;ILVBL;STBD1	higher_more_aggressive_program	aggressiveness_negative_control
GSM4567924	HALLMARK_HYPOXIA	-0.294566610144849	200	197	BTG1;ILVBL;STBD1	higher_more_aggressive_program	aggressiveness_negative_control
GSM4567916	HALLMARK_HYPOXIA	-0.180055404375768	200	197	BTG1;ILVBL;STBD1	higher_more_aggressive_program	aggressiveness_negative_control
GSM4567919	HALLMARK_HYPOXIA	0.0259150609426251	200	197	BTG1;ILVBL;STBD1	higher_more_aggressive_program	aggressiveness_negative_control
GSM4567930	HALLMARK_HYPOXIA	0.0824476949367235	200	197	BTG1;ILVBL;STBD1	higher_more_aggressive_program	aggressiveness_negative_control
