cohort	component	program	loading	component_variance_explained	retained_components	retained_variance_cumulative
GSE151179	PC1	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	0.51331129339497	0.49852	2	0.85433
GSE151179	PC1	HALLMARK_HYPOXIA	0.392043393650642	0.49852	2	0.85433
GSE151179	PC1	HALLMARK_ANGIOGENESIS	0.559900329093922	0.49852	2	0.85433
GSE151179	PC1	HALLMARK_G2M_CHECKPOINT	-0.284435863544648	0.49852	2	0.85433
GSE151179	PC1	HALLMARK_E2F_TARGETS	-0.295418104267159	0.49852	2	0.85433
GSE151179	PC1	HALLMARK_INFLAMMATORY_RESPONSE	0.318040089060163	0.49852	2	0.85433
GSE151179	PC2	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	0.120093339621671	0.35581	2	0.85433
GSE151179	PC2	HALLMARK_HYPOXIA	0.325050451006357	0.35581	2	0.85433
GSE151179	PC2	HALLMARK_ANGIOGENESIS	0.00306512811868042	0.35581	2	0.85433
GSE151179	PC2	HALLMARK_G2M_CHECKPOINT	0.587187181746399	0.35581	2	0.85433
GSE151179	PC2	HALLMARK_E2F_TARGETS	0.571749199097164	0.35581	2	0.85433
GSE151179	PC2	HALLMARK_INFLAMMATORY_RESPONSE	0.456316190807609	0.35581	2	0.85433
GSE299988	PC1	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	0.279868528394067	0.50479	2	0.853
GSE299988	PC1	HALLMARK_HYPOXIA	0.533577359568697	0.50479	2	0.853
GSE299988	PC1	HALLMARK_ANGIOGENESIS	0.352475313107262	0.50479	2	0.853
GSE299988	PC1	HALLMARK_G2M_CHECKPOINT	0.464622361660275	0.50479	2	0.853
GSE299988	PC1	HALLMARK_E2F_TARGETS	0.35174838425881	0.50479	2	0.853
GSE299988	PC1	HALLMARK_INFLAMMATORY_RESPONSE	0.416087847739777	0.50479	2	0.853
GSE299988	PC2	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	0.587373812702927	0.34821	2	0.853
GSE299988	PC2	HALLMARK_HYPOXIA	0.0337218540344625	0.34821	2	0.853
GSE299988	PC2	HALLMARK_ANGIOGENESIS	0.520882389157336	0.34821	2	0.853
GSE299988	PC2	HALLMARK_G2M_CHECKPOINT	-0.309533245798236	0.34821	2	0.853
GSE299988	PC2	HALLMARK_E2F_TARGETS	-0.528299254637086	0.34821	2	0.853
GSE299988	PC2	HALLMARK_INFLAMMATORY_RESPONSE	-0.0873237921334074	0.34821	2	0.853
