cohort	program_1	program_2	spearman_rho	bootstrap_ci_low	bootstrap_ci_high	bootstrap_sign_stability
GSE151179	TDS_16	IODIDE_HANDLING_11	0.973039215686275	0.876222230431998	1	1
GSE151179	TDS_16	CONDELLO_2025_SIX	-0.769607843137255	-0.922320259604235	-0.448019801980198	1
GSE151179	IODIDE_HANDLING_11	CONDELLO_2025_SIX	-0.752450980392157	-0.942076353904282	-0.331600506704946	0.998
GSE151179	TDS_16	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	0.0637254901960784	-0.483757615011311	0.639308549843376	0.597
GSE151179	IODIDE_HANDLING_11	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	0.120098039215686	-0.471588089330025	0.673348621562489	0.636
GSE151179	CONDELLO_2025_SIX	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	-0.129901960784314	-0.616459496025706	0.433662475046176	0.682
GSE151179	TDS_16	HALLMARK_HYPOXIA	0.0490196078431373	-0.498252184769039	0.569191402885944	0.554
GSE151179	IODIDE_HANDLING_11	HALLMARK_HYPOXIA	0.151960784313726	-0.431467945906321	0.643177614591536	0.687
GSE151179	CONDELLO_2025_SIX	HALLMARK_HYPOXIA	0.036764705882353	-0.418722929640301	0.490808286516854	0.56
GSE151179	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_HYPOXIA	0.438725490196078	-0.0561160088158686	0.801025773481172	0.966
GSE151179	TDS_16	HALLMARK_ANGIOGENESIS	0.245098039215686	-0.355863011674302	0.751027927237853	0.778
GSE151179	IODIDE_HANDLING_11	HALLMARK_ANGIOGENESIS	0.29656862745098	-0.285269150228156	0.803512951312658	0.842
GSE151179	CONDELLO_2025_SIX	HALLMARK_ANGIOGENESIS	-0.389705882352941	-0.80982478097622	0.238099081569116	0.898
GSE151179	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_ANGIOGENESIS	0.575980392156863	0.04614052595443	0.88738711493456	0.983
GSE151179	HALLMARK_HYPOXIA	HALLMARK_ANGIOGENESIS	0.627450980392157	0.22122618983639	0.844285336046685	0.998
GSE151179	TDS_16	HALLMARK_G2M_CHECKPOINT	-0.252450980392157	-0.686989591239293	0.305872415734856	0.809
GSE151179	IODIDE_HANDLING_11	HALLMARK_G2M_CHECKPOINT	-0.25	-0.695625076396528	0.313693836339437	0.804
GSE151179	CONDELLO_2025_SIX	HALLMARK_G2M_CHECKPOINT	0.316176470588235	-0.267406096833162	0.705432102198984	0.88
GSE151179	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_G2M_CHECKPOINT	-0.161764705882353	-0.693093320526082	0.431436608769895	0.676
GSE151179	HALLMARK_HYPOXIA	HALLMARK_G2M_CHECKPOINT	-0.0955882352941177	-0.568146738702703	0.436829065415928	0.607
GSE151179	HALLMARK_ANGIOGENESIS	HALLMARK_G2M_CHECKPOINT	-0.477941176470588	-0.826149068322982	0.0703255885997519	0.955
GSE151179	TDS_16	HALLMARK_E2F_TARGETS	-0.166666666666667	-0.637830094169505	0.387541564039409	0.731
GSE151179	IODIDE_HANDLING_11	HALLMARK_E2F_TARGETS	-0.156862745098039	-0.635762946375884	0.421102489462429	0.695
GSE151179	CONDELLO_2025_SIX	HALLMARK_E2F_TARGETS	0.387254901960784	-0.097911999324371	0.766481304962795	0.941
GSE151179	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_E2F_TARGETS	-0.166666666666667	-0.701800812741692	0.486935277431853	0.698
GSE151179	HALLMARK_HYPOXIA	HALLMARK_E2F_TARGETS	0.00980392156862745	-0.510101549400923	0.520690116755804	0.523
GSE151179	HALLMARK_ANGIOGENESIS	HALLMARK_E2F_TARGETS	-0.46078431372549	-0.851344863823858	0.130451548004918	0.944
GSE151179	HALLMARK_G2M_CHECKPOINT	HALLMARK_E2F_TARGETS	0.948529411764706	0.799706069619443	0.994847964177861	1
GSE151179	TDS_16	HALLMARK_INFLAMMATORY_RESPONSE	-0.401960784313726	-0.80340220076353	0.148647655620348	0.916
GSE151179	IODIDE_HANDLING_11	HALLMARK_INFLAMMATORY_RESPONSE	-0.345588235294118	-0.802029700185626	0.252173913043478	0.895
GSE151179	CONDELLO_2025_SIX	HALLMARK_INFLAMMATORY_RESPONSE	0.20343137254902	-0.270361145703611	0.639315857739013	0.759
GSE151179	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_INFLAMMATORY_RESPONSE	0.42156862745098	-0.12755703171024	0.822082872305786	0.937
GSE151179	HALLMARK_HYPOXIA	HALLMARK_INFLAMMATORY_RESPONSE	0.463235294117647	-0.10484922928411	0.834388745093732	0.95
GSE151179	HALLMARK_ANGIOGENESIS	HALLMARK_INFLAMMATORY_RESPONSE	0.321078431372549	-0.171252254057303	0.733045962513559	0.892
GSE151179	HALLMARK_G2M_CHECKPOINT	HALLMARK_INFLAMMATORY_RESPONSE	0.0784313725490196	-0.474490154494902	0.642724014336917	0.623
GSE151179	HALLMARK_E2F_TARGETS	HALLMARK_INFLAMMATORY_RESPONSE	-0.0294117647058824	-0.603286233145928	0.564364440175361	0.567
GSE299988	TDS_16	IODIDE_HANDLING_11	0.951515151515151	0.772151898734177	1	1
GSE299988	TDS_16	CONDELLO_2025_SIX	0.418181818181818	-0.373472049689441	1	0.851
GSE299988	IODIDE_HANDLING_11	CONDELLO_2025_SIX	0.418181818181818	-0.459179970972424	0.924551740302356	0.856
GSE299988	TDS_16	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	0.151515151515151	-0.572459861713348	0.692307692307692	0.694
GSE299988	IODIDE_HANDLING_11	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	-0.139393939393939	-0.687717563291139	0.490606097023595	0.68
GSE299988	CONDELLO_2025_SIX	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	-0.0545454545454545	-0.660136884942656	0.615432098765432	0.565
GSE299988	TDS_16	HALLMARK_HYPOXIA	0.187878787878788	-0.475862068965517	0.775034937888199	0.706
