signature_id	contrast	adverse_group	reference_group	adverse_aligned_hedges_g	ci_low	ci_high	bootstrap_finite	n_adverse	n_reference	role	orientation	exact_permutation_p	p_bh_18	frozen_adverse_aligned_hedges_g	point_difference_from_frozen	program
TDS_16	uptake_failure	RAI_nonavid_persistent	RAI_avid_persistent	0.163465779504542	-0.92427553438579	1.40169485292198	10000	6	7	biological_reference	higher_more_differentiated	0.749417249417249	0.872727272727273	0.163465779504542	0	TDS-16
TDS_16	response_failure_with_uptake	RAI_avid_persistent	RAI_avid_remission	-0.243554946810085	-1.61074016014236	0.905376005623577	10000	7	4	biological_reference	higher_more_differentiated	0.687878787878788	0.872727272727273	-0.243554946810085	0	TDS-16
IODIDE_HANDLING_11	uptake_failure	RAI_nonavid_persistent	RAI_avid_persistent	0.215853193869484	-0.982219744639171	1.21189320723333	10000	6	7	biological_reference	higher_more_iodide_handling	0.676573426573427	0.872727272727273	0.215853193869484	0	Iodide handling-11
IODIDE_HANDLING_11	response_failure_with_uptake	RAI_avid_persistent	RAI_avid_remission	-0.0644672017858661	-1.32029778714071	1.15559165454689	10000	7	4	biological_reference	higher_more_iodide_handling	0.927272727272727	0.927272727272727	-0.0644672017858662	9.71445146547012e-17	Iodide handling-11
CONDELLO_2025_SIX	uptake_failure	RAI_nonavid_persistent	RAI_avid_persistent	-0.109161387935362	-1.50335635283863	0.897976949819997	10000	6	7	independent_ex_vivo_avidity_candidate	higher_more_low_avidity_like	0.833916083916084	0.882969971205266	-0.109161387935362	0	Condello-6
CONDELLO_2025_SIX	response_failure_with_uptake	RAI_avid_persistent	RAI_avid_remission	0.315100712382378	-0.653095837695937	1.49019516321947	10000	7	4	independent_ex_vivo_avidity_candidate	higher_more_low_avidity_like	0.609090909090909	0.872727272727273	0.315100712382378	0	Condello-6
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	uptake_failure	RAI_nonavid_persistent	RAI_avid_persistent	0.490218179545647	-0.792968952880269	1.42485627314039	10000	6	7	aggressiveness_negative_control	higher_more_aggressive_program	0.424825174825175	0.84965034965035	0.490218179545647	0	EMT
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	response_failure_with_uptake	RAI_avid_persistent	RAI_avid_remission	-0.330718580623669	-1.38516201895371	0.770417843915842	10000	7	4	aggressiveness_negative_control	higher_more_aggressive_program	0.6	0.872727272727273	-0.330718580623669	0	EMT
HALLMARK_HYPOXIA	uptake_failure	RAI_nonavid_persistent	RAI_avid_persistent	1.12879005309433	0.227258832452008	3.05965726980092	10000	6	7	aggressiveness_negative_control	higher_more_aggressive_program	0.0536130536130536	0.576923076923077	1.12879005309433	0	Hypoxia
HALLMARK_HYPOXIA	response_failure_with_uptake	RAI_avid_persistent	RAI_avid_remission	-0.738628645097769	-2.79861262229826	0.36333940860138	10000	7	4	aggressiveness_negative_control	higher_more_aggressive_program	0.236363636363636	0.702797202797203	-0.738628645097768	-9.992007221626409e-16	Hypoxia
HALLMARK_ANGIOGENESIS	uptake_failure	RAI_nonavid_persistent	RAI_avid_persistent	1.02966936598575	0.138040126993481	2.73151711959755	10000	6	7	aggressiveness_negative_control	higher_more_aggressive_program	0.0641025641025641	0.576923076923077	1.02966936598575	0	Angiogenesis
HALLMARK_ANGIOGENESIS	response_failure_with_uptake	RAI_avid_persistent	RAI_avid_remission	-0.664498482324622	-3.24446224067176	0.198126908558395	10000	7	4	aggressiveness_negative_control	higher_more_aggressive_program	0.290909090909091	0.702797202797203	-0.664498482324622	0	Angiogenesis
HALLMARK_G2M_CHECKPOINT	uptake_failure	RAI_nonavid_persistent	RAI_avid_persistent	-0.552329268709765	-1.59232331930756	0.501802667226513	10000	6	7	aggressiveness_negative_control	higher_more_aggressive_program	0.312354312354312	0.702797202797203	-0.552329268709765	0	G2M
HALLMARK_G2M_CHECKPOINT	response_failure_with_uptake	RAI_avid_persistent	RAI_avid_remission	-0.314360705042763	-1.71351985360937	0.767802659580483	10000	7	4	aggressiveness_negative_control	higher_more_aggressive_program	0.557575757575758	0.872727272727273	-0.314360705042764	9.992007221626409e-16	G2M
HALLMARK_E2F_TARGETS	uptake_failure	RAI_nonavid_persistent	RAI_avid_persistent	-0.569660703014637	-1.63426523235353	0.448913686281724	10000	6	7	aggressiveness_negative_control	higher_more_aggressive_program	0.30011655011655	0.702797202797203	-0.569660703014637	0	E2F
HALLMARK_E2F_TARGETS	response_failure_with_uptake	RAI_avid_persistent	RAI_avid_remission	-0.148975523606435	-1.50780942204557	0.965671592173213	10000	7	4	aggressiveness_negative_control	higher_more_aggressive_program	0.775757575757576	0.872727272727273	-0.148975523606435	0	E2F
HALLMARK_INFLAMMATORY_RESPONSE	uptake_failure	RAI_nonavid_persistent	RAI_avid_persistent	0.749443772626119	-0.232868706695895	2.08641180315154	10000	6	7	aggressiveness_negative_control	higher_more_aggressive_program	0.173076923076923	0.702797202797203	0.749443772626119	0	Inflammatory
HALLMARK_INFLAMMATORY_RESPONSE	response_failure_with_uptake	RAI_avid_persistent	RAI_avid_remission	-0.845805893907566	-2.50971384206775	0.19425355331075	10000	7	4	aggressiveness_negative_control	higher_more_aggressive_program	0.172727272727273	0.702797202797203	-0.845805893907566	0	Inflammatory
