signature_id	contrast	role	orientation	observed_adverse_hedges_g	null_q025	null_q975	null_abs_q95	n_null	matched_random_p	matched_random_q_bh18	program	endpoint	role_label	matched_label
CONDELLO_2025_SIX	response_failure_with_uptake	independent_ex_vivo_avidity_candidate	higher_more_low_avidity_like	0.315100712382378	-0.9522190532944099	0.9764358547116748	0.974317781201669	1000	0.46653346653346656	0.7026819334511643	Condello-6	Response failure despite uptake	Ex vivo candidate	Pmatch = 0.467
CONDELLO_2025_SIX	uptake_failure	independent_ex_vivo_avidity_candidate	higher_more_low_avidity_like	-0.109161387935362	-1.011775830670741	1.18852220067286	1.101675192001794	1000	0.8271728271728271	0.8431568431568431	Condello-6	Uptake failure	Ex vivo candidate	Pmatch = 0.827
HALLMARK_ANGIOGENESIS	response_failure_with_uptake	aggressiveness_negative_control	higher_more_aggressive_program	-0.664498482324622	-0.9676161671274623	0.5727011615883332	0.8484063222544761	1000	0.11288711288711288	0.29028114742400457	Angiogenesis	Response failure despite uptake	Generic control	Pmatch = 0.113
HALLMARK_ANGIOGENESIS	uptake_failure	aggressiveness_negative_control	higher_more_aggressive_program	1.02966936598575	-0.753767794675676	1.209563275091084	1.0148434401011313	1000	0.04795204795204795	0.17262737262737263	Angiogenesis	Uptake failure	Generic control	Pmatch = 0.048
HALLMARK_E2F_TARGETS	response_failure_with_uptake	aggressiveness_negative_control	higher_more_aggressive_program	-0.148975523606435	-1.0269768484042203	0.2212692361321981	0.8949110127015287	1000	0.7862137862137862	0.8431568431568431	E2F	Response failure despite uptake	Generic control	Pmatch = 0.786
HALLMARK_E2F_TARGETS	uptake_failure	aggressiveness_negative_control	higher_more_aggressive_program	-0.569660703014637	-0.14138642416514033	1.3708438567075685	1.2094308408625825	1000	0.4595404595404595	0.7026819334511643	E2F	Uptake failure	Generic control	Pmatch = 0.460
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	response_failure_with_uptake	aggressiveness_negative_control	higher_more_aggressive_program	-0.330718580623669	-0.27200089562311763	0.29031652906008526	0.283803980865423	1000	0.022977022977022976	0.13786213786213786	EMT	Response failure despite uptake	Generic control	Pmatch = 0.023
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	uptake_failure	aggressiveness_negative_control	higher_more_aggressive_program	0.490218179545647	-0.5526134844517135	0.07652375325638902	0.5085052509208418	1000	0.07292707292707293	0.21878121878121878	EMT	Uptake failure	Generic control	Pmatch = 0.073
HALLMARK_G2M_CHECKPOINT	response_failure_with_uptake	aggressiveness_negative_control	higher_more_aggressive_program	-0.314360705042764	-0.8817366422363007	0.25817157747112646	0.798443081978455	1000	0.48151848151848153	0.7026819334511643	G2M	Response failure despite uptake	Generic control	Pmatch = 0.482
HALLMARK_G2M_CHECKPOINT	uptake_failure	aggressiveness_negative_control	higher_more_aggressive_program	-0.552329268709765	-0.21831625113448144	1.0807512600624478	0.9765169229473502	1000	0.2937062937062937	0.5874125874125874	G2M	Uptake failure	Generic control	Pmatch = 0.294
HALLMARK_HYPOXIA	response_failure_with_uptake	aggressiveness_negative_control	higher_more_aggressive_program	-0.738628645097768	-0.5186434892372137	0.2613353283833446	0.43961726439786436	1000	0.004995004995004995	0.04495504495504495	Hypoxia	Response failure despite uptake	Generic control	Pmatch = 0.005
HALLMARK_HYPOXIA	uptake_failure	aggressiveness_negative_control	higher_more_aggressive_program	1.12879005309433	-0.42698674131424025	0.5251567883735222	0.48615172450517163	1000	9.99000999000999e-4	0.017982017982017984	Hypoxia	Uptake failure	Generic control	Pmatch < 0.001
HALLMARK_INFLAMMATORY_RESPONSE	response_failure_with_uptake	aggressiveness_negative_control	higher_more_aggressive_program	-0.845805893907566	-0.8963519241421901	0.35691018809252417	0.753444013526826	1000	0.03696303696303696	0.1663336663336663	Inflammatory	Response failure despite uptake	Generic control	Pmatch = 0.037
HALLMARK_INFLAMMATORY_RESPONSE	uptake_failure	aggressiveness_negative_control	higher_more_aggressive_program	0.749443772626119	-0.2314210224777038	1.2272239902696414	1.0972130327790064	1000	0.18981018981018982	0.4270729270729271	Inflammatory	Uptake failure	Generic control	Pmatch = 0.190
IODIDE_HANDLING_11	response_failure_with_uptake	biological_reference	higher_more_iodide_handling	-0.0644672017858662	-0.6387493888618194	0.4578152497350807	0.5736623066991157	1000	0.8431568431568431	0.8431568431568431	Iodide-11	Response failure despite uptake	Biological reference	Pmatch = 0.843
IODIDE_HANDLING_11	uptake_failure	biological_reference	higher_more_iodide_handling	0.215853193869484	-0.47850948572311525	0.82888554297731	0.7598210845937227	1000	0.6103896103896104	0.7847866419294991	Iodide-11	Uptake failure	Biological reference	Pmatch = 0.610
TDS_16	response_failure_with_uptake	biological_reference	higher_more_differentiated	-0.243554946810085	-0.7322598625013127	0.6910104461003821	0.7158348180776826	1000	0.5074925074925075	0.7026819334511643	TDS-16	Response failure despite uptake	Biological reference	Pmatch = 0.507
TDS_16	uptake_failure	biological_reference	higher_more_differentiated	0.163465779504542	-0.9308327193822814	0.8800851103294876	0.8980865092091586	1000	0.7202797202797203	0.8431568431568431	TDS-16	Uptake failure	Biological reference	Pmatch = 0.720
