signature_id	program_label	role	orientation	contrast	adverse_group	reference_group	n_adverse	n_reference	genes_requested	genes_present	raw_hedges_g	adverse_aligned_hedges_g	bootstrap_ci_low	bootstrap_ci_high	bootstrap_resamples	exact_label_permutations	exact_label_extreme	exact_label_p	covariance_null_sets	covariance_extreme	covariance_program_p	exact_label_q_bh18	covariance_program_q_bh18
TDS_16	TDS-16	biological_reference	higher_more_differentiated	uptake_failure	RAI_nonavid_persistent	RAI_avid_persistent	6	7	16	16	-0.163465779504542	0.163465779504542	-0.92427553438579	1.40169485292198	10000	1716	1286	0.749417249417249	1000	761	0.761238761238761	0.872727272727273	0.856393606393606
TDS_16	TDS-16	biological_reference	higher_more_differentiated	response_failure_with_uptake	RAI_avid_persistent	RAI_avid_remission	7	4	16	16	0.243554946810085	-0.243554946810085	-1.61074016014236	0.905376005623577	10000	330	227	0.687878787878788	1000	426	0.426573426573427	0.872727272727273	0.687812187812188
IODIDE_HANDLING_11	Iodide-handling-11	biological_reference	higher_more_iodide_handling	uptake_failure	RAI_nonavid_persistent	RAI_avid_persistent	6	7	11	11	-0.215853193869484	0.215853193869484	-0.982219744639171	1.21189320723333	10000	1716	1161	0.676573426573427	1000	689	0.689310689310689	0.872727272727273	0.853546453546454
IODIDE_HANDLING_11	Iodide-handling-11	biological_reference	higher_more_iodide_handling	response_failure_with_uptake	RAI_avid_persistent	RAI_avid_remission	7	4	11	11	0.0644672017858661	-0.0644672017858661	-1.32029778714071	1.15559165454689	10000	330	306	0.927272727272727	1000	897	0.897102897102897	0.927272727272727	0.897102897102897
CONDELLO_2025_SIX	Condello-6	independent_ex_vivo_avidity_candidate	higher_more_low_avidity_like	uptake_failure	RAI_nonavid_persistent	RAI_avid_persistent	6	7	6	6	-0.109161387935362	-0.109161387935362	-1.50335635283863	0.897976949819997	10000	1716	1431	0.833916083916084	1000	829	0.829170829170829	0.882969971205266	0.877945583827937
CONDELLO_2025_SIX	Condello-6	independent_ex_vivo_avidity_candidate	higher_more_low_avidity_like	response_failure_with_uptake	RAI_avid_persistent	RAI_avid_remission	7	4	6	6	0.315100712382378	0.315100712382378	-0.653095837695937	1.49019516321947	10000	330	201	0.609090909090909	1000	522	0.522477522477522	0.872727272727273	0.723430415738108
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	EMT	aggressiveness_negative_control	higher_more_aggressive_program	uptake_failure	RAI_nonavid_persistent	RAI_avid_persistent	6	7	200	195	0.490218179545647	0.490218179545647	-0.792968952880269	1.42485627314039	10000	1716	729	0.424825174825175	1000	110	0.110889110889111	0.84965034965035	0.221778221778222
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	EMT	aggressiveness_negative_control	higher_more_aggressive_program	response_failure_with_uptake	RAI_avid_persistent	RAI_avid_remission	7	4	200	195	-0.330718580623669	-0.330718580623669	-1.38516201895371	0.770417843915842	10000	330	198	0.6	1000	27	0.027972027972028	0.872727272727273	0.0839160839160839
HALLMARK_HYPOXIA	Hypoxia	aggressiveness_negative_control	higher_more_aggressive_program	uptake_failure	RAI_nonavid_persistent	RAI_avid_persistent	6	7	200	197	1.12879005309433	1.12879005309433	0.227258832452008	3.05965726980092	10000	1716	92	0.0536130536130536	1000	0	0.000999000999000999	0.576923076923077	0.00899100899100899
HALLMARK_HYPOXIA	Hypoxia	aggressiveness_negative_control	higher_more_aggressive_program	response_failure_with_uptake	RAI_avid_persistent	RAI_avid_remission	7	4	200	197	-0.738628645097769	-0.738628645097769	-2.79861262229826	0.36333940860138	10000	330	78	0.236363636363636	1000	9	0.00999000999000999	0.702797202797203	0.0599400599400599
HALLMARK_ANGIOGENESIS	Angiogenesis	aggressiveness_negative_control	higher_more_aggressive_program	uptake_failure	RAI_nonavid_persistent	RAI_avid_persistent	6	7	36	34	1.02966936598575	1.02966936598575	0.138040126993481	2.73151711959755	10000	1716	110	0.0641025641025641	1000	54	0.054945054945055	0.576923076923077	0.141287284144427
HALLMARK_ANGIOGENESIS	Angiogenesis	aggressiveness_negative_control	higher_more_aggressive_program	response_failure_with_uptake	RAI_avid_persistent	RAI_avid_remission	7	4	36	34	-0.664498482324622	-0.664498482324622	-3.24446224067176	0.198126908558395	10000	330	96	0.290909090909091	1000	153	0.153846153846154	0.702797202797203	0.276923076923077
HALLMARK_G2M_CHECKPOINT	G2M checkpoint	aggressiveness_negative_control	higher_more_aggressive_program	uptake_failure	RAI_nonavid_persistent	RAI_avid_persistent	6	7	200	187	-0.552329268709765	-0.552329268709765	-1.59232331930756	0.501802667226513	10000	1716	536	0.312354312354312	1000	27	0.027972027972028	0.702797202797203	0.0839160839160839
HALLMARK_G2M_CHECKPOINT	G2M checkpoint	aggressiveness_negative_control	higher_more_aggressive_program	response_failure_with_uptake	RAI_avid_persistent	RAI_avid_remission	7	4	200	187	-0.314360705042763	-0.314360705042763	-1.71351985360937	0.767802659580483	10000	330	184	0.557575757575758	1000	27	0.027972027972028	0.872727272727273	0.0839160839160839
HALLMARK_E2F_TARGETS	E2F targets	aggressiveness_negative_control	higher_more_aggressive_program	uptake_failure	RAI_nonavid_persistent	RAI_avid_persistent	6	7	200	187	-0.569660703014637	-0.569660703014637	-1.63426523235353	0.448913686281724	10000	1716	515	0.30011655011655	1000	458	0.458541458541459	0.702797202797203	0.687812187812188
HALLMARK_E2F_TARGETS	E2F targets	aggressiveness_negative_control	higher_more_aggressive_program	response_failure_with_uptake	RAI_avid_persistent	RAI_avid_remission	7	4	200	187	-0.148975523606435	-0.148975523606435	-1.50780942204557	0.965671592173213	10000	330	256	0.775757575757576	1000	711	0.711288711288711	0.872727272727273	0.853546453546454
HALLMARK_INFLAMMATORY_RESPONSE	Inflammatory response	aggressiveness_negative_control	higher_more_aggressive_program	uptake_failure	RAI_nonavid_persistent	RAI_avid_persistent	6	7	200	198	0.749443772626119	0.749443772626119	-0.232868706695895	2.08641180315154	10000	1716	297	0.173076923076923	1000	69	0.0699300699300699	0.702797202797203	0.157342657342657
HALLMARK_INFLAMMATORY_RESPONSE	Inflammatory response	aggressiveness_negative_control	higher_more_aggressive_program	response_failure_with_uptake	RAI_avid_persistent	RAI_avid_remission	7	4	200	198	-0.845805893907566	-0.845805893907566	-2.50971384206775	0.19425355331075	10000	330	57	0.172727272727273	1000	0	0.000999000999000999	0.702797202797203	0.00899100899100899
