signature_id	program	role	role_label	contrast	endpoint	full_effect	lopo_min	lopo_max	same_direction_n	n_estimable	direction_label	exact_label_p	exact_label_q_bh18	covariance_program_p	covariance_program_q_bh18
TDS_16	TDS-16	biological_reference	Biological reference	uptake_failure	Uptake failure	0.163465779504542	-0.160600795964057	0.506015762572262	11	13	11/13	0.749417249417249	0.872727272727273	0.761238761238761	0.856393606393606
TDS_16	TDS-16	biological_reference	Biological reference	response_failure_with_uptake	Response failure despite uptake	-0.243554946810085	-0.657013176760092	0.205047748136032	10	11	10/11	0.687878787878788	0.872727272727273	0.426573426573427	0.687812187812188
IODIDE_HANDLING_11	Iodide-handling-11	biological_reference	Biological reference	uptake_failure	Uptake failure	0.215853193869484	-0.280958242370732	0.51179051703619	12	13	12/13	0.676573426573427	0.872727272727273	0.689310689310689	0.853546453546454
IODIDE_HANDLING_11	Iodide-handling-11	biological_reference	Biological reference	response_failure_with_uptake	Response failure despite uptake	-0.0644672017858661	-0.407180803411476	0.577003799086528	7	11	7/11	0.927272727272727	0.927272727272727	0.897102897102897	0.897102897102897
CONDELLO_2025_SIX	Condello-6	independent_ex_vivo_avidity_candidate	Ex vivo candidate	uptake_failure	Uptake failure	-0.109161387935362	-0.60890677477086	0.152960722422331	10	13	10/13	0.833916083916084	0.882969971205266	0.829170829170829	0.877945583827937
CONDELLO_2025_SIX	Condello-6	independent_ex_vivo_avidity_candidate	Ex vivo candidate	response_failure_with_uptake	Response failure despite uptake	0.315100712382378	-0.00375595527174369	0.675331359434183	10	11	10/11	0.609090909090909	0.872727272727273	0.522477522477522	0.723430415738108
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	EMT	aggressiveness_negative_control	Generic control	uptake_failure	Uptake failure	0.490218179545647	0.0554294026041837	0.670634588478932	13	13	13/13	0.424825174825175	0.84965034965035	0.110889110889111	0.221778221778222
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	EMT	aggressiveness_negative_control	Generic control	response_failure_with_uptake	Response failure despite uptake	-0.330718580623669	-0.640701934658739	-0.0921269354014346	11	11	11/11	0.6	0.872727272727273	0.027972027972028	0.0839160839160839
HALLMARK_HYPOXIA	Hypoxia	aggressiveness_negative_control	Generic control	uptake_failure	Uptake failure	1.12879005309433	0.935313180719179	1.77304455005078	13	13	13/13	0.0536130536130536	0.576923076923077	0.000999000999000999	0.00899100899100899
HALLMARK_HYPOXIA	Hypoxia	aggressiveness_negative_control	Generic control	response_failure_with_uptake	Response failure despite uptake	-0.738628645097769	-1.22305649314246	-0.460271663976789	11	11	11/11	0.236363636363636	0.702797202797203	0.00999000999000999	0.0599400599400599
HALLMARK_ANGIOGENESIS	Angiogenesis	aggressiveness_negative_control	Generic control	uptake_failure	Uptake failure	1.02966936598575	0.832636649303316	1.49031029864048	13	13	13/13	0.0641025641025641	0.576923076923077	0.054945054945055	0.141287284144427
HALLMARK_ANGIOGENESIS	Angiogenesis	aggressiveness_negative_control	Generic control	response_failure_with_uptake	Response failure despite uptake	-0.664498482324622	-1.39329494577718	-0.498060062953141	11	11	11/11	0.290909090909091	0.702797202797203	0.153846153846154	0.276923076923077
HALLMARK_G2M_CHECKPOINT	G2M checkpoint	aggressiveness_negative_control	Generic control	uptake_failure	Uptake failure	-0.552329268709765	-0.836240039516067	-0.321653071407982	13	13	13/13	0.312354312354312	0.702797202797203	0.027972027972028	0.0839160839160839
HALLMARK_G2M_CHECKPOINT	G2M checkpoint	aggressiveness_negative_control	Generic control	response_failure_with_uptake	Response failure despite uptake	-0.314360705042763	-0.597797526849309	0.183045005893167	10	11	10/11	0.557575757575758	0.872727272727273	0.027972027972028	0.0839160839160839
HALLMARK_E2F_TARGETS	E2F targets	aggressiveness_negative_control	Generic control	uptake_failure	Uptake failure	-0.569660703014637	-0.846058683718244	-0.316814198610249	13	13	13/13	0.30011655011655	0.702797202797203	0.458541458541459	0.687812187812188
HALLMARK_E2F_TARGETS	E2F targets	aggressiveness_negative_control	Generic control	response_failure_with_uptake	Response failure despite uptake	-0.148975523606435	-0.493754553631132	0.30681380632211	9	11	9/11	0.775757575757576	0.872727272727273	0.711288711288711	0.853546453546454
HALLMARK_INFLAMMATORY_RESPONSE	Inflammatory response	aggressiveness_negative_control	Generic control	uptake_failure	Uptake failure	0.749443772626119	0.492271418945856	1.00581155214305	13	13	13/13	0.173076923076923	0.702797202797203	0.0699300699300699	0.157342657342657
HALLMARK_INFLAMMATORY_RESPONSE	Inflammatory response	aggressiveness_negative_control	Generic control	response_failure_with_uptake	Response failure despite uptake	-0.845805893907566	-1.24414011154983	-0.514442006544846	11	11	11/11	0.172727272727273	0.702797202797203	0.000999000999000999	0.00899100899100899
