record_key	sources	pmid	doi	title	decision	primary_reason	full_text_or_code_assessed	freeze_date
doi:10.1002/cam4.71995	citation_snowball		10.1002/cam4.71995	TTK Overexpression: A Negative Prognostic Biomarker in Anaplastic Thyroid Carcinoma	exclude	no_relevant_radioiodine_construct	no	2026-07-12
doi:10.1002/cam4.72037	citation_snowball		10.1002/cam4.72037	A Prognostic Risk Model Based on Immune Genes in Thyroid Cancer and Its Correlation With Tumor‐Associated Immune Cell Infiltration Abundance	exclude	no_relevant_radioiodine_construct	no	2026-07-12
doi:10.1002/ccr3.72764	citation_snowball		10.1002/ccr3.72764	Beyond the Triple‐Negative Label: A Case Report on Metaplastic Breast Carcinoma	exclude	no_transcriptomic_or_expression_measurement	no	2026-07-12
doi:10.1002/ccr3.72993	citation_snowball		10.1002/ccr3.72993	Cervical Metastasis From Primary Breast Carcinoma: A Case Report and Review of Extragenital Tumors Involving the Uterine Cervix	exclude	review_or_secondary_source	no	2026-07-12
doi:10.1002/ohn.70298	citation_snowball		10.1002/ohn.70298	The Molecular Heterogeneity of NRAS Variants in Thyroid Nodules.	exclude	no_relevant_radioiodine_construct	no	2026-07-12
doi:10.1002/wjs.70425	citation_snowball		10.1002/wjs.70425	Application of AmCAD-UT in Active Surveillance of Papillary Thyroid Microcarcinoma and Suspicious Subcentimeter Thyroid Nodules: A Prospective Agreement Study.	exclude	no_transcriptomic_or_expression_measurement	no	2026-07-12
doi:10.1007/s00330-026-12608-2	citation_snowball		10.1007/s00330-026-12608-2	MRI assessment of tumour deposits in rectal cancer	exclude	no_transcriptomic_or_expression_measurement	no	2026-07-12
doi:10.1007/s12672-026-05244-1	citation_snowball		10.1007/s12672-026-05244-1	Development of a four-gene prognostic signature for hepatocellular carcinoma using TCGA and GEO datasets.	exclude	no_relevant_radioiodine_construct	no	2026-07-12
doi:10.1007/s12672-026-05278-5	citation_snowball		10.1007/s12672-026-05278-5	Integrated bulk and single-cell RNA sequencing reveals a prognostic neuro-mimicry signature in papillary thyroid carcinoma.	exclude	no_relevant_radioiodine_construct	no	2026-07-12
doi:10.1007/s12672-026-05401-6	citation_snowball		10.1007/s12672-026-05401-6	COG8 serves as a predictive and prognostic biomarker in lung adenocarcinoma and other human malignancies.	exclude	no_transcriptomic_or_expression_measurement	no	2026-07-12
doi:10.1007/s12672-026-05473-4	citation_snowball		10.1007/s12672-026-05473-4	A seven-gene diagnostic and prognostic signature for papillary thyroid carcinoma.	exclude	no_relevant_radioiodine_construct	no	2026-07-12
doi:10.1007/s13205-026-04847-3	citation_snowball		10.1007/s13205-026-04847-3	Bioinformatic and experimental analysis reveals ITGA5 as a driver of ovarian clear cell carcinoma progression and platinum resistance	exclude	no_transcriptomic_or_expression_measurement	no	2026-07-12
doi:10.1007/s40618-026-02963-8	citation_snowball		10.1007/s40618-026-02963-8	Inhibition of TGF-β1/Smad signaling reverses the dedifferentiated phenotype of thyroid cancer cells in three-dimensional culture.	exclude	no_transcriptomic_or_expression_measurement	no	2026-07-12
doi:10.1007/s44272-026-00063-5	citation_snowball		10.1007/s44272-026-00063-5	Computational stratification and engineering framework of the PDCD1/CD2 immune axis in triple-negative breast cancer	exclude	no_transcriptomic_or_expression_measurement	no	2026-07-12
doi:10.1016/j.bbrc.2026.154124	citation_snowball		10.1016/j.bbrc.2026.154124	A three-gene signature (ABCE1, ATAD5, FUT4) for colorectal cancer prognosis: integrative analysis of transcriptomic, single-cell, and machine learning data.	exclude	no_relevant_radioiodine_construct	no	2026-07-12
doi:10.1016/j.critrevonc.2026.105439	citation_snowball		10.1016/j.critrevonc.2026.105439	Targeting ncRNA Control Networks with Engineered Exosomes to Overcome Therapy Resistance in Thyroid Cancer.	exclude	no_transcriptomic_or_expression_measurement	no	2026-07-12
doi:10.1016/j.euo.2026.05.001	citation_snowball		10.1016/j.euo.2026.05.001	Why Renal Cancer Guidelines Should be Tailored to Histologic Subtype.	exclude	review_or_secondary_source	no	2026-07-12
doi:10.1016/j.molimm.2026.05.006	citation_snowball		10.1016/j.molimm.2026.05.006	Transcriptomic sequencing analysis of the tumor microenvironment atlas and potential mechanisms of metastasis in papillary thyroid carcinoma.	exclude	no_relevant_radioiodine_construct	no	2026-07-12
doi:10.1016/j.tranon.2026.102871	citation_snowball		10.1016/j.tranon.2026.102871	Perioperative ctDNA as a prognostic biomarker in endometrial cancer - the CODEC study	exclude	no_transcriptomic_or_expression_measurement	no	2026-07-12
doi:10.1016/j.ygyno.2026.05.021	citation_snowball		10.1016/j.ygyno.2026.05.021	Clinical relevance of transcriptome profiling for assessing prognosis, platinum insensitivity, and precision therapeutics in endometrial cancer.	exclude	no_relevant_radioiodine_construct	no	2026-07-12
doi:10.1038/s41523-026-00976-3	citation_snowball		10.1038/s41523-026-00976-3	Potential treatment targets in the whole-tissue proteome of triple negative breast cancer.	exclude	no_transcriptomic_or_expression_measurement	no	2026-07-12
doi:10.1038/s41598-026-53030-4	citation_snowball		10.1038/s41598-026-53030-4	Post-Chornobyl thyroid papillary carcinomas display distinct past 131I exposure and radiation-associated carcinogenesis molecular signatures at low and high thyroid doses.	exclude	no_eligible_human_endpoint_linked_program_or_marker	no	2026-07-12
doi:10.1038/s41598-026-57559-2	citation_snowball		10.1038/s41598-026-57559-2	Machine learning approaches for predicting differentiated thyroid cancer recurrence using thyroglobulin levels and whole-body scans: a retrospective cohort study.	exclude	no_transcriptomic_or_expression_measurement	no	2026-07-12
doi:10.1038/s41598-026-57693-x	citation_snowball		10.1038/s41598-026-57693-x	A 5mC-related gene signature predicts prognosis and therapy response in hepatocellular carcinoma	exclude	no_relevant_radioiodine_construct	no	2026-07-12
doi:10.1093/ajcp/aqag049	citation_snowball		10.1093/ajcp/aqag049	Prognostic characterization of papillary thyroid carcinoma: Insights into the role of PD-L1 and mutational landscape in disease aggressiveness and outcome.	exclude	no_transcriptomic_or_expression_measurement	no	2026-07-12
doi:10.1093/jnci/djag190	citation_snowball		10.1093/jnci/djag190	Association of common genetic alterations with tumor recurrence in papillary thyroid cancer.	exclude	no_relevant_radioiodine_construct	no	2026-07-12
doi:10.1093/neuped/wuag026.211	citation_snowball		10.1093/neuped/wuag026.211	ID #555 Small molecule drug screening, chemoinformatics and integrative transcriptomics identify targetable MYC-dependent therapeutic vulnerabilities in high-risk medulloblastoma	exclude	no_relevant_radioiodine_construct	no	2026-07-12
