pmid	doi	year	title	screening_stage	decision	primary_reason	full_text_assessed	freeze_date
42252965	10.1080/07853890.2026.2657641	2026	Postoperative stimulated thyroglobulin and the ps-tg/TSH ratio enhance the 2025 ATA risk stratification for predicting radioiodine response in papillary thyroid carcinoma.	title_abstract	exclude	no_transcriptomic_or_expression_measurement	no	2026-07-12
41786355	10.1002/hed.70221	2026	Lenvatinib as Neoadjuvant Therapy in Locally Advanced Thyroid Cancer: CT-Based Selection and Outcomes From a 23-Patient Cohort.	title_abstract	exclude	no_eligible_human_endpoint_linked_program_or_marker	no	2026-07-12
42430188	10.1128/spectrum.03237-25	2026	Dynamic effects of radioactive iodine therapy on gut microbiota and metabolites in patients with papillary thyroid cancer.	title_abstract	exclude	no_transcriptomic_or_expression_measurement	no	2026-07-12
42420643	10.1007/s11307-026-02114-8	2026	LLM-Enhanced Multimodal Fusion of SPECT Radiomics and Clinical Data for Predicting 131I Therapeutic Response in Differentiated Thyroid Cancer.	title_abstract	exclude	no_transcriptomic_or_expression_measurement	no	2026-07-12
42433550	10.21037/qims-2025-1-2776	2026	Comparison between 99mTcO4 - SPECT/CT and diagnostic 131I SPECT/CT for the detection of postoperative thyroid remnant in patients with differentiated thyroid cancer.	title_abstract	exclude	no_transcriptomic_or_expression_measurement	no	2026-07-12
41954613	10.1158/1078-0432.CCR-25-3945	2026	AL2846, a Novel Multi-Kinase Inhibitor, for Previously Treated Radioiodine-Refractory Differentiated Thyroid Cancer: Exploratory Clinical Results From the Phase Ib Study.	title_abstract	exclude	no_transcriptomic_or_expression_measurement	no	2026-07-12
42363265	10.1186/s13044-026-00306-6	2026	Single-cell RNA sequencing in thyroid cancer: a methodological review and thyroid specific dissociation protocol.	title_abstract	exclude	review_or_secondary_source	no	2026-07-12
42325083	10.1002/1878-0261.70181	2026	The role of miR-335-5p in the redifferentiation of BRAF p.V600E thyroid cancers.	title_abstract	exclude	non_human_or_preclinical_only	no	2026-07-12
42323057	10.1016/j.critrevonc.2026.105439	2026	Targeting ncRNA control networks with engineered exosomes to overcome therapy resistance in thyroid cancer.	title_abstract	exclude	no_eligible_human_endpoint_linked_program_or_marker	no	2026-07-12
42322900	10.1016/j.currproblcancer.2026.101315	2026	Clinical impact of a single time-point protocol paired FDG-PET and radioactive iodine scan for comprehensive disease assessment in differentiated thyroid cancer.	title_abstract	exclude	no_eligible_human_endpoint_linked_program_or_marker	no	2026-07-12
